,anchor_ratio,trans_range,node_density,iterations,ale,sd_ale,datetime
0,30,15,200,40,0.773545928,0.250555301,2023-05-14 21:03:20.433633
1,15,15,100,70,0.911940683,0.498329391,2023-05-15 21:03:20.433633
2,30,15,100,50,0.814867311,0.255545506,2023-05-16 21:03:20.433633
3,15,20,100,20,1.435332143,0.39460254,2023-05-17 21:03:20.433633
4,30,15,100,40,1.265909048,0.302943301,2023-05-18 21:03:20.433633
5,22,18,100,24,1.457227702,0.463308546,2023-05-19 21:03:20.433633
6,18,23,100,14,1.912673609,0.440208313,2023-05-20 21:03:20.433633
7,10,25,200,15,1.432541304,0.234996306,2023-05-21 21:03:20.433633
8,29,25,100,40,0.777448602,0.351503738,2023-05-22 21:03:20.433633
9,20,20,100,30,1.142195399,0.230192531,2023-05-23 21:03:20.433633
10,15,20,200,20,0.694361186,0.108054554,2023-05-24 21:03:20.433633
11,18,23,100,16,1.536521724,0.247704526,2023-05-25 21:03:20.433633
12,18,23,100,24,1.054096551,0.312639571,2023-05-26 21:03:20.433633
13,30,15,200,70,0.616868756,0.156022817,2023-05-27 21:03:20.433633
14,30,20,100,50,1.306089929,0.3172243,2023-05-28 21:03:20.433633
15,22,18,100,18,2.568407259,0.663502187,2023-05-29 21:03:20.433633
16,14,17,200,40,0.857073355,0.264071316,2023-05-30 21:03:20.433633
17,15,15,100,60,1.360770699,0.606128956,2023-05-31 21:03:20.433633
18,14,17,200,70,0.761082794,0.098958496,2023-06-01 21:03:20.433633
19,15,20,100,40,1.400044509,0.381825484,2023-06-02 21:03:20.433633
20,15,15,100,40,0.968578876,0.521958738,2023-06-03 21:03:20.433633
21,15,20,100,70,1.236995855,0.373965312,2023-06-04 21:03:20.433633
22,20,20,100,20,1.424042411,0.432745628,2023-06-05 21:03:20.433633
23,30,15,200,50,0.623686944,0.198896422,2023-06-06 21:03:20.433633
24,20,20,200,30,0.639524158,0.144813998,2023-06-07 21:03:20.433633
25,27,12,300,34,0.527185071,0.092165079,2023-06-08 21:03:20.433633
26,20,20,200,40,0.583633811,0.113007589,2023-06-09 21:03:20.433633
27,15,15,100,100,0.835540467,0.279405006,2023-06-10 21:03:20.433633
28,30,20,100,30,0.856184664,0.249213749,2023-06-11 21:03:20.433633
29,14,17,200,80,0.694355398,0.109480995,2023-06-12 21:03:20.433633
30,30,15,200,60,0.610484539,0.156495612,2023-06-13 21:03:20.433633
31,30,15,100,100,0.898056384,0.395022756,2023-06-14 21:03:20.433633
32,15,15,200,80,0.579297331,0.141759096,2023-06-15 21:03:20.433633
33,30,15,200,80,0.584010393,0.13818947,2023-06-16 21:03:20.433633
34,18,23,100,18,1.42744727,0.300525323,2023-06-17 21:03:20.433633
35,15,15,300,80,0.48997044,0.098293934,2023-06-18 21:03:20.433633
36,15,15,100,20,1.972683353,1.092220436,2023-06-19 21:03:20.433633
37,14,17,200,50,0.85212508,0.242422714,2023-06-20 21:03:20.433633
38,15,20,100,80,0.987043662,0.272926693,2023-06-21 21:03:20.433633
39,20,20,200,20,0.777587417,0.079345684,2023-06-22 21:03:20.433633
40,15,16,100,16,2.178481596,0.473341171,2023-06-23 21:03:20.433633
41,10,25,200,25,0.771503642,0.173037596,2023-06-24 21:03:20.433633
42,30,15,100,70,1.230927917,0.288495035,2023-06-25 21:03:20.433633
43,15,20,200,40,0.754537261,0.110507227,2023-06-26 21:03:20.433633
