anchor_ratio,trans_range,node_density,iterations,ale,sd_ale,datetime
30,15,200,40,0.773545928,0.250555301,31/10/2013 01:30
15,15,100,70,0.911940683,0.498329391,07/08/2010 05:27
30,15,100,50,0.814867311,0.255545506,03/08/2013 11:43
15,20,100,20,1.435332143,0.39460254,29/03/2016 07:15
30,15,100,40,1.265909048,0.302943301,28/08/2019 13:47
22,18,100,24,1.457227702,0.463308546,09/10/2015 04:26
18,23,100,14,1.912673609,0.440208313,01/12/2009 13:25
10,25,200,15,1.432541304,0.234996306,06/09/2014 05:27
29,25,100,40,0.777448602,0.351503738,22/11/2015 16:56
20,20,100,30,1.142195399,0.230192531,29/06/2008 22:56
15,20,200,20,0.694361186,0.108054554,23/11/2018 01:35
18,23,100,16,1.536521724,0.247704526,06/01/2009 11:36
18,23,100,24,1.054096551,0.312639571,11/02/2011 23:53
30,15,200,70,0.616868756,0.156022817,25/09/2012 03:33
30,20,100,50,1.306089929,0.3172243,25/09/2012 03:33
22,18,100,18,2.568407259,0.663502187,21/04/2009 12:29
14,17,200,40,0.857073355,0.264071316,04/11/2014 10:01
15,15,100,60,1.360770699,0.606128956,04/09/2009 13:07
14,17,200,70,0.761082794,0.098958496,17/02/2011 01:43
15,20,100,40,1.400044509,0.381825484,15/05/2010 00:15
15,15,100,40,0.968578876,0.521958738,14/01/2009 06:13
15,20,100,70,1.236995855,0.373965312,24/05/2010 14:21
20,20,100,20,1.424042411,0.432745628,18/01/2018 04:46
30,15,200,50,0.623686944,0.198896422,08/08/2011 20:33
20,20,200,30,0.639524158,0.144813998,24/01/2017 11:17
27,12,300,34,0.527185071,0.092165079,05/11/2018 20:11
20,20,200,40,0.583633811,0.113007589,08/02/2012 06:19
15,15,100,100,0.835540467,0.279405006,11/04/2015 17:14
30,20,100,30,0.856184664,0.249213749,19/02/2019 08:50
14,17,200,80,0.694355398,0.109480995,05/04/2019 13:41
30,15,200,60,0.610484539,0.156495612,10/07/2019 10:17
30,15,100,100,0.898056384,0.395022756,09/11/2017 01:10
15,15,200,80,0.579297331,0.141759096,26/01/2014 14:52
30,15,200,80,0.584010393,0.13818947,03/03/2010 23:09
18,23,100,18,1.42744727,0.300525323,28/10/2011 04:59
15,15,300,80,0.48997044,0.098293934,29/10/2010 14:49
15,15,100,20,1.972683353,1.092220436,19/04/2010 08:27
14,17,200,50,0.85212508,0.242422714,06/06/2012 09:56
15,20,100,80,0.987043662,0.272926693,31/07/2014 13:43
20,20,200,20,0.777587417,0.079345684,15/01/2012 09:50
15,16,100,16,2.178481596,0.473341171,18/09/2009 21:47
10,25,200,25,0.771503642,0.173037596,28/12/2010 14:54
30,15,100,70,1.230927917,0.288495035,01/05/2011 15:08
15,20,200,40,0.754537261,0.110507227,03/01/2014 09:37
